x	y	SDRAM address	size/bytes	time taken/s	transfer rate/(Mb/s)	missing sequence numbers
4	4	0x602432e8	72	0.002344	0.234360	[]
4	4	0x60243330	12	0.000938	0.097589	[]
4	4	0x6024333c	52	0.000980	0.404905	[]
4	4	0x60243370	16	0.000974	0.125360	[]
4	4	0x60d8a2c8	72	0.000899	0.611183	[]
4	4	0x60d8a310	12	0.000890	0.102921	[]
4	4	0x60d8a31c	104	0.000863	0.919235	[]
4	4	0x60d8a384	12	0.000858	0.106669	[]
4	4	0x60d8a390	24	0.000906	0.202000	[]
4	4	0x60d8a3c8	132	0.000855	1.177497	[]
4	4	0x60d8a4a4	4	0.000861	0.035433	[]
4	4	0x60d8a4a8	8	0.000880	0.069330	[]
4	4	0x60d8a4b0	4	0.000883	0.034546	[]
4	4	0x60d8a4c8	24	0.000865	0.211794	[]
4	4	0x60d8a4e0	12	0.000878	0.104305	[]
4	4	0x60d8a4f4	72	0.000900	0.610348	[]
4	4	0x60d8a53c	12	0.000900	0.101691	[]
4	4	0x60d8a548	52	0.000950	0.417427	[]
4	4	0x60d8a57c	16	0.000879	0.138805	[]
4	4	0x618d14d4	72	0.000834	0.658451	[]
4	4	0x618d151c	12	0.000906	0.101036	[]
4	4	0x618d1528	104	0.000920	0.862747	[]
4	4	0x618d1590	12	0.000878	0.104236	[]
4	4	0x618d159c	40	0.000845	0.361091	[]
4	4	0x618d1604	216	0.000837	1.967999	[]
4	4	0x618d16dc	132	0.000874	1.151960	[]
4	4	0x618d17b8	4	0.000862	0.035401	[]
4	4	0x618d17bc	140	0.001569	0.680647	[]
4	4	0x618d184c	8	0.001075	0.056787	[]
4	4	0x618d1854	4	0.000851	0.035864	[]
4	4	0x618d187c	24	0.001106	0.165526	[]
4	4	0x618d1894	20	0.000957	0.159465	[]
