x	y	SDRAM address	size/bytes	time taken/s	transfer rate/(Mb/s)	missing sequence numbers
4	4	0x602432e8	72	0.002352	0.233514	[]
4	4	0x60243330	12	0.000969	0.094474	[]
4	4	0x6024333c	52	0.000908	0.437157	[]
4	4	0x60243370	16	0.000929	0.131453	[]
4	4	0x60c0935c	72	0.000894	0.614242	[]
4	4	0x60c093a4	12	0.000951	0.096314	[]
4	4	0x60c093b0	1396	0.001651	6.452166	[]
4	4	0x60c09924	12	0.000856	0.106992	[]
4	4	0x60c09930	24	0.000862	0.212457	[]
4	4	0x60c0a088	196	0.000850	1.760002	[]
4	4	0x60c0a1a4	4	0.000853	0.035792	[]
4	4	0x60c0a1a8	152	0.000850	1.363831	[]
4	4	0x60c0a244	4	0.000873	0.034958	[]
4	4	0x60c0a248	4	0.000880	0.034685	[]
4	4	0x60c0a260	24	0.000888	0.206179	[]
4	4	0x60c0a278	12	0.001011	0.090582	[]
